AT,V,AP,AT_V,AT_RH,PE_Label
21.95,57.76,1018.02,1267.8319999999999,1486.454,3
25.76,63.94,1018.49,1647.0944,1085.5264,2
23.68,68.3,1017.93,1617.3439999999998,1992.9088,2
8.28,40.77,1011.55,337.5756,743.4612,4
23.44,62.52,1016.46,1465.4688,1575.4024,2
25.32,48.41,1008.47,1225.7412,1826.5848,2
3.94,39.9,1008.06,157.206,384.1106,4
17.3,57.76,1016.26,999.248,1517.902,3
18.2,49.39,1018.83,898.898,1752.6599999999999,3
21.43,46.97,1013.94,1006.5671,1312.5875,3
11.16,40.05,1014.95,446.95799999999997,986.3208,4
30.38,74.16,1007.44,2252.9808,2271.5126,2
23.36,62.52,1016.18,1460.4672,1592.6848000000002,2
21.69,47.45,1007.56,1029.1905000000002,1674.468,2
23.62,49.21,1014.1,1162.3402,1170.1348,2
21.87,61.45,1011.13,1343.9115000000002,2016.8514,2
29.25,66.51,1015.53,1945.4175000000002,984.2624999999999,2
20.03,66.86,1013.05,1339.2058,1293.7377000000001,3
18.14,49.78,1002.95,903.0092000000001,1815.6326000000001,3
24.23,56.89,1012.32,1378.4447,1648.6092,2
18.11,44.85,1014.48,812.2335,886.3033999999999,3
6.57,43.65,1018.24,286.7805,489.2679,4
12.56,43.41,1016.93,545.2296,1017.6111999999999,3
13.4,41.58,1020.5,557.172,953.678,3
27.1,52.84,1006.28,1431.9640000000002,1459.335,2
14.28,42.74,1028.79,610.3272,1009.1676,3
16.29,44.34,1019.49,722.2986,966.9744,3
31.24,71.98,1004.66,2248.6552,1785.9908,1
10.57,37.73,1024.36,398.80609999999996,742.9653000000001,4
13.8,44.21,1022.93,610.0980000000001,1150.506,3
25.3,71.58,1010.18,1810.974,2210.208,2
18.06,50.16,1009.52,905.8895999999999,1807.6254,3
25.42,59.04,1011.98,1500.7968,1748.3876000000002,2
15.07,40.69,1015.29,613.1983,1069.6686,3
11.75,71.14,1019.36,835.895,889.2400000000001,3
20.23,52.05,1012.15,1052.9714999999999,960.7227,3
27.31,59.54,1006.24,1626.0374,1966.0468999999998,2
28.57,69.84,1003.57,1995.3288000000002,1901.3335,2
17.9,43.72,1008.64,782.588,1337.667,3
23.83,71.37,1002.04,1700.7471,1543.7074,2
27.92,74.99,1005.47,2093.7208,2097.6296,2
17.34,44.78,1007.81,776.4852,977.6292000000001,3
17.94,63.07,1012.42,1131.4758000000002,1692.6390000000001,3
6.4,39.9,1007.75,255.36,553.92,4
11.78,39.96,1011.37,470.7288,977.151,4
20.28,57.25,1010.12,1161.03,1793.1576000000002,3
21.04,54.2,1012.26,1140.368,1801.2343999999998,2
25.11,67.32,1014.49,1690.4051999999997,1466.1729,2
30.28,70.98,1007.51,2149.2744000000002,2249.1984,2
8.14,36.24,1013.15,294.9936,715.099,4
16.86,39.63,1004.47,668.1618,1407.81,3
6.25,40.07,1020.19,250.4375,407.74999999999994,5
22.35,54.42,1012.46,1216.287,1676.4735000000003,3
17.98,56.85,1012.28,1022.163,1519.6696,2
21.19,42.48,1013.43,900.1512,1706.2188,3
20.94,44.89,1009.64,939.9966000000001,1573.4316000000001,3
24.23,58.79,1009.8,1424.4817,1835.4225000000001,2
19.18,58.2,1017.46,1116.276,1471.4895999999999,3
20.88,57.85,1012.39,1207.908,1784.6136,3
23.67,63.86,1019.67,1511.5662000000002,1371.6765000000003,2
14.12,39.52,1018.41,558.0224000000001,1105.8783999999998,3
25.23,64.63,1020.59,1630.6148999999998,1317.006,2
6.54,39.33,1011.54,257.21819999999997,612.7325999999999,5
20.08,62.52,1017.99,1255.4016,1520.8591999999999,3
24.67,63.56,1013.75,1568.0252000000003,1666.7052,2
27.82,79.74,1008.37,2218.3668,1932.3772,2
15.55,42.03,1017.41,653.5665,1159.719,3
24.26,69.51,1013.43,1686.3126000000002,1291.3598,2
13.45,41.49,1020.19,558.0405,1193.2839999999999,3
11.06,40.64,1021.47,449.4784,1063.5296,4
24.91,52.3,1008.72,1302.793,1700.3566,2
22.39,59.04,1011.78,1321.9056,1934.2721000000001,2
11.95,40.69,1015.62,486.24549999999994,1019.813,4
14.85,40.69,1014.91,604.2465,1078.704,3
10.11,41.62,1017.17,420.77819999999997,988.9601999999999,3
23.67,68.67,1006.71,1625.4189000000001,1827.7974000000002,2
16.14,44.21,1020.36,713.5494,1300.7226,3
15.11,43.13,1014.99,651.6943,708.8100999999999,3
24.14,59.87,1018.47,1445.2618,1394.3264,2
30.08,67.25,1017.6,2022.8799999999999,1596.9472,2
14.77,44.9,1020.5,663.173,1245.2587,3
27.6,69.34,1009.63,1913.784,1975.608,2
13.89,44.84,1023.66,622.8276000000001,1291.3533,3
26.85,75.6,1017.43,2029.86,2001.6675,2
12.41,40.96,1023.36,508.3136,979.8935999999999,4
13.08,41.74,1020.75,545.9592,842.8752,4
18.93,44.06,1017.58,834.0558,1291.5939,3
20.5,49.69,1009.6,1018.645,1451.605,3
30.72,69.13,1009.94,2123.6735999999996,1894.1951999999999,2
7.55,39.22,1014.53,296.111,587.0880000000001,4
13.49,44.47,1030.46,599.9003,937.4200999999999,3
15.62,40.12,1013.03,626.6743999999999,1503.5812,3
24.8,64.63,1020.69,1602.8239999999998,1382.352,2
10.03,41.62,1014.55,417.44859999999994,958.9682999999999,3
22.43,63.21,1012.06,1417.8003,1900.9424999999999,2
14.95,39.31,1009.15,587.6845,1125.735,3
24.78,58.46,1016.82,1448.6388000000002,1672.65,2
23.2,48.41,1008.64,1123.1119999999999,1877.344,2
14.01,39.0,1016.73,546.39,1110.0123,3
19.4,64.63,1020.38,1253.822,1573.3399999999997,3
30.15,67.32,1013.83,2029.6979999999996,988.9199999999998,2
6.91,36.08,1021.82,249.31279999999998,582.5821000000001,4
29.04,60.07,1015.42,1744.4328,1340.196,2
26.02,63.07,1010.94,1641.0814,1404.0392,2
5.89,39.48,1005.11,232.53719999999996,352.39869999999996,4
26.52,71.64,1008.27,1899.8928,1996.956,2
28.53,68.08,1013.27,1942.3224,1213.3809,2
16.59,39.54,1007.97,655.9685999999999,1170.9222,3
22.95,67.79,1009.89,1555.7805,2104.2855,2
23.96,47.43,1008.38,1136.4228,1522.658,2
17.48,44.2,1018.89,772.6160000000001,1075.1948,3
6.69,43.65,1020.14,292.0185,465.28950000000003,4
10.25,41.26,1007.44,422.91499999999996,1005.3199999999999,4
28.87,72.58,1008.69,2095.3846,2290.5458000000003,1
12.04,40.23,1018.07,484.3691999999999,978.6111999999999,4
22.58,52.3,1009.04,1180.9339999999997,1783.5941999999998,2
15.12,52.05,1014.63,786.9959999999999,1215.3455999999999,3
25.48,58.95,1017.02,1502.046,1303.5567999999998,2
27.87,70.79,1003.96,1972.9173000000003,2011.3779000000002,1
23.72,70.47,1010.65,1671.5484,1788.2508,2
25.0,59.43,1007.84,1485.75,1722.75,2
8.42,40.64,1022.35,342.1888,811.5196,4
22.46,58.49,1011.5,1313.6854,1584.3284,2
29.92,57.19,1008.62,1711.1248,1370.336,2
11.68,39.22,1017.9,458.08959999999996,676.856,4
14.04,42.44,1012.74,595.8575999999999,1149.7356,4
19.86,59.14,1016.12,1174.5203999999999,1376.6951999999999,2
25.99,68.08,1013.13,1769.3991999999998,1537.0485999999999,2
23.42,58.79,1009.74,1376.8618000000001,1909.6668000000002,2
10.6,40.22,1011.37,426.332,909.586,4
20.97,61.87,1011.45,1297.4138999999998,1371.6476999999998,2
14.14,39.82,1012.46,563.0548,1147.4610000000002,4
8.56,40.71,1021.27,348.47760000000005,820.6472000000001,4
24.86,72.39,1001.15,1799.6154,2243.3664,2
29.0,77.54,1011.33,2248.6600000000003,2178.77,2
27.59,71.97,1008.64,1985.6523,2433.9898,2
10.45,40.71,1015.68,425.41949999999997,851.466,3
8.51,40.78,1023.51,347.0378,764.5384,4
29.82,66.51,1010.98,1983.3282000000002,1299.2574,2
22.56,62.26,1012.11,1404.5855999999999,1424.8895999999997,2
11.38,39.22,1018.62,446.3236,650.2532000000001,4
20.25,57.76,1016.28,1169.6399999999999,1574.64,3
22.42,59.43,1007.12,1332.4206000000001,2030.3552000000002,2
14.85,38.91,1014.48,577.8135,905.5529999999999,3
25.62,58.82,1010.02,1506.9684,1801.3422,2
19.85,56.53,1020.57,1122.1205,1469.8925000000002,3
13.67,54.3,1015.92,742.281,1030.9914,3
24.39,70.72,1009.78,1724.8608,2006.0775,2
16.07,44.58,1019.52,716.4005999999999,1091.9565,4
11.6,39.1,1009.81,453.56,1161.044,3
31.38,70.83,1010.35,2222.6454,1483.6464,2
29.91,76.86,998.59,2298.8826,2165.7831,2
19.67,59.39,1014.07,1168.2013000000002,1527.7689000000003,2
27.18,64.79,1016.27,1760.9922000000001,1731.366,2
21.39,52.3,1009.2,1118.697,1706.2803,2
10.45,41.01,1020.57,428.55449999999996,980.6279999999999,3
19.46,56.89,1014.02,1107.0794,1653.1270000000002,2
23.55,62.96,1020.16,1482.708,1652.268,2
23.35,63.47,1011.78,1482.0245,1967.004,2
9.26,41.66,1016.87,385.7716,678.9431999999999,4
10.3,41.46,1018.21,427.038,887.551,4
20.94,58.16,1016.88,1217.8704,1370.1042000000002,3
23.13,71.25,1002.49,1648.0124999999998,2187.8667,2
12.77,41.5,1014.13,529.9549999999999,1108.436,4
28.29,69.13,1009.29,1955.6876999999997,1645.9122,1
19.13,59.21,1018.32,1132.6873,1715.1957999999997,3
24.44,73.5,1011.49,1796.3400000000001,2135.8116,2
20.32,44.6,1015.16,906.272,738.6320000000001,3
20.54,69.05,1001.6,1418.2869999999998,1635.3948,2
12.16,45.0,1021.51,547.2,614.3232,4
28.09,65.27,1013.27,1833.4343,1459.5564,2
9.25,41.82,1033.25,386.835,691.2525,4
21.75,49.82,1015.01,1083.585,1703.6775,3
23.7,66.56,1002.07,1577.472,2019.003,2
16.22,37.87,1022.36,614.2513999999999,1348.3685999999998,3
24.75,69.45,1013.97,1718.8875,1323.8775,2
10.48,39.58,1011.81,414.7984,931.2528,4
29.53,70.79,1003.7,2090.4287000000004,1798.0817000000002,1
12.59,39.72,1017.76,500.0748,769.7526,4
23.5,54.42,1012.31,1278.8700000000001,1604.815,3
29.01,66.56,1006.44,1930.9056000000003,1671.5562,1
9.75,42.49,1010.57,414.27750000000003,815.3924999999999,4
19.55,56.53,1020.2,1105.1615000000002,1526.855,3
21.05,58.33,1013.14,1227.8465,1396.457,2
24.72,68.67,1006.74,1697.5224,1953.3744,2
21.19,58.86,1014.19,1247.2434,1461.2623999999998,3
10.77,41.54,1019.94,447.38579999999996,766.0700999999999,4
28.68,73.77,1004.72,2115.7236,2495.4468,2
29.87,73.91,1004.53,2207.6917,2219.341,2
22.99,68.67,1006.65,1578.7232999999999,1784.4838,2
24.66,60.29,1018.0,1486.7513999999999,1468.7496,2
32.63,69.89,1013.85,2280.5107000000003,1359.3658,1
31.38,72.29,1008.73,2268.4602,2299.2126,2
23.87,60.27,1018.94,1438.6449000000002,1841.8092,2
25.6,59.15,1013.31,1514.24,1715.712,2
27.62,71.14,1011.6,1964.8868,1458.336,2
30.1,67.45,1014.23,2030.2450000000001,1175.104,2
12.19,41.17,1019.43,501.8623,798.0793,4
13.11,41.58,1020.43,545.1138,974.3351999999999,3
28.29,68.67,1005.46,1942.6743,1958.2338,2
13.45,40.73,1018.7,547.8185,1262.686,3
10.98,41.54,1019.94,456.1092,766.7334,4
26.48,69.14,1009.31,1830.8272,2227.2328,2
13.07,45.51,1015.22,594.8157,1027.9555,3
25.56,75.6,1017.37,1932.3359999999998,1771.5636,2
22.68,50.78,1008.83,1151.6904,1594.404,2
28.86,73.67,1006.65,2126.1162,1969.1178,2
22.7,63.56,1014.32,1442.812,1628.952,2
27.89,73.21,1001.32,2041.8268999999998,2395.1931999999997,2
13.78,44.47,1027.94,612.7966,979.6202,3
28.14,51.43,1012.16,1447.2402,1482.1338,2
11.8,45.09,1013.21,532.0620000000001,1058.2240000000002,4
10.71,39.61,1018.72,424.22310000000004,788.8986,4
24.54,60.29,1017.42,1479.5166,1446.3875999999998,2
11.54,40.05,1014.78,462.1769999999999,1004.5569999999999,4
29.47,71.32,1008.07,2101.8003999999996,1974.49,2
29.24,69.05,1003.12,2019.0219999999997,1262.5832,2
14.51,41.79,1009.72,606.3729,1169.7962,3
22.91,60.07,1016.03,1376.2037,1368.1852,2
27.02,71.77,1006.38,1939.2253999999998,1948.1419999999998,1
13.49,44.47,1030.18,599.9003,932.8335000000001,3
30.24,66.75,1017.95,2018.52,1683.1583999999998,2
23.19,48.6,1002.38,1127.034,1418.9961,2
17.73,40.55,1003.36,718.9515,1323.0126,3
18.62,61.27,1019.26,1140.8474,1365.777,3
12.85,40.0,1015.89,514.0,884.7224999999999,3
32.33,69.68,1011.95,2252.7544000000003,1289.6436999999999,2
25.09,58.95,1016.99,1479.0555000000002,1333.7844,2
29.45,69.13,1009.3,2035.8784999999998,1559.9665,2
16.91,43.96,1013.32,743.3636,1350.6017000000002,3
14.09,45.87,1009.05,646.3082999999999,1184.8281,3
10.73,25.36,1009.35,272.1128,1074.6095,3
23.2,49.3,1003.4,1143.76,1850.6639999999998,2
8.21,38.91,1015.82,319.4511,730.6079000000001,4
9.3,40.56,1022.64,377.208,708.1020000000001,4
16.97,39.16,1005.7,664.5451999999999,1173.1361,3
23.69,71.97,1009.62,1704.9693,2203.8807,2
25.13,59.44,1012.38,1493.7271999999998,1958.1296,2
9.86,43.56,1015.13,429.5016,738.4154,4
11.33,41.5,1013.58,470.195,1004.971,4
26.95,48.41,1008.53,1304.6494999999998,1696.233,2
15.0,40.66,1016.28,609.9,1344.3000000000002,3
20.76,62.52,1015.63,1297.9152000000001,1682.3904000000002,3
14.29,39.59,1010.93,565.7411,1350.8337,3
19.74,67.71,1007.68,1336.5953999999997,1263.7548,2
26.68,59.92,1009.94,1598.6656,1882.8075999999999,2
14.24,41.4,1019.7,589.536,1001.3567999999999,3
21.98,48.41,1008.42,1064.0518,1865.2228,2
22.75,59.39,1015.4,1351.1225,1852.0774999999999,2
8.34,40.96,1023.28,341.6064,746.013,4
11.8,41.2,1017.18,486.1600000000001,975.978,4
8.81,44.68,1023.06,393.6308,827.5233000000001,4
30.05,73.68,1014.95,2214.0840000000003,2121.5299999999997,2
16.01,65.46,1014.0,1048.0146,1403.7568000000003,3
21.75,58.79,1012.42,1278.6825,1904.865,2
13.94,41.26,1021.67,575.1644,1037.136,3
29.25,69.13,1010.27,2022.0524999999998,1969.9874999999997,1
22.33,45.87,1007.8,1024.2770999999998,1420.4113,2
16.43,41.79,1005.47,686.6097,1263.3027,3
11.5,40.22,1010.31,462.53,897.92,4
23.53,68.94,1007.53,1622.1582,1627.5701000000001,2
21.86,49.21,1014.61,1075.7306,1165.3566,3
6.17,39.33,1012.57,242.6661,575.7844,5
30.19,64.79,1017.22,1956.0101000000002,1282.1693,2
11.67,41.93,1019.81,489.3231,963.7085999999999,4
15.34,36.99,1007.87,567.4266,1451.0106,3
11.5,40.78,1023.91,468.97,992.565,3
25.53,57.17,1010.0,1459.5501000000002,1852.7121,2
21.27,57.5,1014.53,1223.0249999999999,1717.7652,3
28.37,69.13,1010.44,1961.2181,2040.6541000000002,1
28.39,51.43,1011.74,1460.0977,1349.6606,2
13.78,45.78,1025.27,630.8484,1319.0216,3
14.6,42.32,1015.71,617.872,1124.638,3
5.1,35.57,1027.17,181.40699999999998,410.49899999999997,4
7.0,38.08,1020.27,266.56,543.69,4
26.3,77.95,1009.45,2050.085,2070.3360000000002,2
30.56,71.98,1004.74,2199.7088,1796.0112,1
21.09,46.63,1013.03,983.4267000000001,1577.532,3
28.21,70.02,1010.58,1975.2641999999998,1448.3014,2
15.84,49.69,1015.14,787.0895999999999,1432.0944,3
10.03,40.96,1024.57,410.8288,913.7329999999998,4
20.37,52.05,1012.34,1060.2585,1274.5509,3
21.19,50.16,1005.81,1062.8904,1785.6813,3
33.73,69.88,1007.21,2357.0523999999996,1448.0288999999998,2
29.87,73.68,1015.1,2200.8216,1223.4752,2
19.62,62.96,1020.76,1235.2752,1501.5186,3
9.93,40.67,1018.08,403.8531,692.5182,4
9.43,37.14,1013.03,350.23019999999997,707.1556999999999,4
14.24,39.58,1011.17,563.6192,1003.2080000000001,3
12.97,49.83,1008.69,646.2951,1186.6253,3
7.6,41.04,1021.82,311.904,676.1719999999999,4
8.39,36.24,1013.39,304.0536,747.8007,4
25.41,48.06,1013.12,1221.2046,1182.0732,2
18.43,56.03,1020.41,1032.6329,1115.9365,3
10.31,39.82,1012.87,410.54420000000005,914.6001,4
11.29,41.5,1013.39,468.53499999999997,1006.5035,4
22.61,49.3,1003.51,1114.673,1877.0821999999998,2
29.34,71.98,1005.19,2111.8932,2206.0746,1
18.87,67.71,1004.0,1277.6877,1648.2945,2
13.21,45.87,1008.58,605.9427000000001,1131.5686,3
11.3,44.6,1018.19,503.9800000000001,1035.758,4
29.23,72.99,1007.04,2133.4977,1855.2281,2
27.76,69.4,1004.27,1926.5440000000003,2005.66,2
29.26,67.17,1006.6,1965.3942000000002,2065.1708,2
25.72,49.82,1016.19,1281.3704,1545.772,3
23.43,63.94,1010.64,1498.1142,2092.0647,2
25.6,63.76,1010.18,1632.256,1726.2080000000003,2
22.3,44.57,1008.48,993.9110000000001,1507.034,2
27.91,72.24,1010.74,2016.2184,1976.028,2
30.35,77.17,1009.55,2342.1095,1930.867,2
21.78,47.43,1007.88,1033.0254,1452.2904000000003,2
7.19,41.39,1018.12,297.5941,652.5644000000001,4
20.88,59.8,1015.66,1248.6239999999998,1573.0992,3
24.19,50.23,1015.73,1215.0637,1445.8363000000002,3
9.98,41.54,1019.7,414.5692,806.2842,4
23.47,51.3,1011.89,1204.011,1739.1269999999997,2
26.35,49.5,1012.67,1304.325,1089.3090000000002,3
29.89,64.69,1006.37,1933.5841,1756.9342000000001,2
19.29,50.16,1010.49,967.5863999999999,1886.1761999999999,3
17.48,43.14,1018.68,754.0872,1308.378,3
25.21,75.6,1017.19,1905.876,1760.6664,2
23.3,48.78,1018.17,1136.574,1755.8880000000001,2
15.42,37.85,1009.89,583.647,1323.036,3
21.44,63.09,1016.56,1352.6496000000002,1931.9584000000002,2
29.45,68.27,1007.96,2010.5514999999998,1815.0035,2
29.69,47.93,1002.85,1423.0417,1328.9244,2
15.52,36.99,1006.86,574.0848,1392.144,3
11.47,43.67,1012.68,500.89490000000006,831.6897000000001,4
9.77,34.69,1027.72,338.9213,732.5546,4
22.6,69.84,1006.37,1578.3840000000002,1798.7340000000002,2
8.24,39.61,1017.99,326.3864,646.1808,4
17.01,44.2,1019.18,751.8420000000001,1041.5223,3
19.64,44.6,1015.88,875.9440000000001,934.0784000000001,3
10.61,41.58,1021.08,441.1638,987.3666,3
12.04,40.1,1014.42,482.804,1079.386,4
29.19,65.71,1013.85,1918.0748999999998,1474.095,2
21.75,45.09,1014.15,980.7075000000001,975.2700000000001,3
23.66,77.54,1008.5,1834.5964000000001,2018.6711999999998,2
27.05,75.33,1003.88,2037.6765,2243.527,2
29.63,69.71,1009.04,2065.5072999999998,1992.9138,2
18.2,39.63,1005.35,721.266,1438.7099999999998,3
32.22,70.8,1009.9,2281.176,1998.6066,2
26.88,73.56,1004.85,1977.2928,2536.3968,2
29.05,65.74,1013.29,1909.7469999999998,1743.5810000000001,2
8.9,39.96,1026.31,355.644,849.5939999999999,4
18.93,48.6,1005.72,919.998,1607.5356,2
27.49,63.76,1010.09,1752.7623999999998,1726.3719999999998,2
23.1,70.79,1006.53,1635.2490000000003,2097.7110000000002,2
11.22,43.13,1017.24,483.9186000000001,907.6980000000001,4
